comparison_id,scope,hypothesis,scenario_id,baseline_policy,candidate_policy,baseline_ablation,candidate_ablation,metric,direction,baseline_mean,candidate_mean,paired_difference,relative_difference,lower_95,upper_95,decision,resamples,bootstrap_seed
hypothesis:H1,hypothesis,H1,,tmc_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.9700431354051371,0.9700424353724604,-7.000326767814258e-07,-7.216510804842284e-07,-2.906834794030311e-05,3.214914265904615e-05,inconclusive,10000,20260715
hypothesis:H2,hypothesis,H2,,tmc_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.8974169131468385,0.9000101941623967,0.0025932810155583465,0.002889717117615795,0.002456033406037019,0.002739562104238759,improvement,10000,20260715
hypothesis:H3,hypothesis,H3,,tmc_db_lbt,adaptive_db_lbt,,,jain_fairness,higher_is_better,0.9975512212603712,0.9975120280964592,-3.919316391208794e-05,-3.9289374898031547e-05,-6.348459121079591e-05,-1.6347653591484436e-05,degradation,10000,20260715
hypothesis:H4,hypothesis,H4,,tmc_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.926467402050158,0.9280230906464222,0.0015556885962643042,0.0016791617199069901,0.001470010674547837,0.0016513163568092533,improvement,10000,20260715
heldout:asymmetric-4x8:adaptive_db_lbt-vs-random_lbt,heldout_scenario,,asymmetric-4x8,random_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.7274980760104315,0.9707333019068267,0.2432352258963953,0.33434483735034315,0.24287982130992133,0.24361847078707352,improvement,10000,20260715
heldout:asymmetric-4x8:adaptive_db_lbt-vs-primary_db_lbt,heldout_scenario,,asymmetric-4x8,primary_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.970778369894162,0.9707333019068267,-4.5067987335223325e-05,-4.642458951793169e-05,-8.449843798278512e-05,-1.181231491545256e-05,degradation,10000,20260715
heldout:asymmetric-4x8:adaptive_db_lbt-vs-tmc_db_lbt,heldout_scenario,,asymmetric-4x8,tmc_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.9707427247362139,0.9707333019068267,-9.422829387184528e-06,-9.706824627241017e-06,-2.9767417683967957e-05,2.0179402923869994e-06,inconclusive,10000,20260715
heldout:asymmetric-4x8:adaptive_db_lbt-vs-fixed_oracle,heldout_scenario,,asymmetric-4x8,fixed_oracle,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.970752142038328,0.9707333019068267,-1.8840131501141054e-05,-1.940776711713626e-05,-5.153012274378394e-05,1.1276283032002344e-05,inconclusive,10000,20260715
heldout:asymmetric-8x4:adaptive_db_lbt-vs-random_lbt,heldout_scenario,,asymmetric-8x4,random_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.731832465092714,0.9776610309191509,0.2458285658264371,0.3359082543506644,0.24557798136246517,0.24608582554269115,improvement,10000,20260715
heldout:asymmetric-8x4:adaptive_db_lbt-vs-primary_db_lbt,heldout_scenario,,asymmetric-8x4,primary_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.9777093345219182,0.9776610309191509,-4.830360276697476e-05,-4.9404870201627286e-05,-9.457977826534958e-05,1.253682414992241e-07,inconclusive,10000,20260715
heldout:asymmetric-8x4:adaptive_db_lbt-vs-tmc_db_lbt,heldout_scenario,,asymmetric-8x4,tmc_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.9776567176356078,0.9776610309191509,4.313283543144753e-06,4.4118589534945534e-06,0.0,1.1228884284975038e-05,inconclusive,10000,20260715
heldout:asymmetric-8x4:adaptive_db_lbt-vs-fixed_oracle,heldout_scenario,,asymmetric-8x4,fixed_oracle,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.9776571954136705,0.9776610309191509,3.8355054806205045e-06,3.923159875070125e-06,-7.97058099756276e-06,1.9353770809316107e-05,inconclusive,10000,20260715
heldout:dynamic-combined-4x4:adaptive_db_lbt-vs-random_lbt,heldout_scenario,,dynamic-combined-4x4,random_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.7648808524306566,0.77965124677594,0.014770394345283377,0.019310712640204897,0.013982711344296414,0.01552573491138698,improvement,10000,20260715
heldout:dynamic-combined-4x4:adaptive_db_lbt-vs-primary_db_lbt,heldout_scenario,,dynamic-combined-4x4,primary_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.7743028203743577,0.77965124677594,0.005348426401582285,0.006907409169705003,0.004871453571068396,0.00577924906990016,improvement,10000,20260715
heldout:dynamic-combined-4x4:adaptive_db_lbt-vs-tmc_db_lbt,heldout_scenario,,dynamic-combined-4x4,tmc_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.7779160105661507,0.77965124677594,0.0017352362097892704,0.0022306215403979186,0.001239132949175969,0.002232222146571599,improvement,10000,20260715
heldout:dynamic-combined-4x4:adaptive_db_lbt-vs-fixed_oracle,heldout_scenario,,dynamic-combined-4x4,fixed_oracle,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.7799063544500102,0.77965124677594,-0.0002551076740702207,-0.00032710039175167714,-0.0007552700390606187,0.0003214494611303222,inconclusive,10000,20260715
heldout:periodic-300ms:adaptive_db_lbt-vs-random_lbt,heldout_scenario,,periodic-300ms,random_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.803653668818961,0.9760335632336921,0.1723798944147311,0.2144952497610797,0.1721633049605964,0.1725936140473853,improvement,10000,20260715
heldout:periodic-300ms:adaptive_db_lbt-vs-primary_db_lbt,heldout_scenario,,periodic-300ms,primary_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.9760353555298045,0.9760335632336921,-1.7922961123462144e-06,-1.8363024476437467e-06,-2.6146412967547325e-05,2.0988396358079526e-05,inconclusive,10000,20260715
heldout:periodic-300ms:adaptive_db_lbt-vs-tmc_db_lbt,heldout_scenario,,periodic-300ms,tmc_db_lbt,adaptive_db_lbt,,,evaluation_utility,higher_is_better,0.9760335632336921,0.9760335632336921,0.0,0.0,0.0,0.0,inconclusive,10000,20260715
